minute,class,TVC,MQ135,MQ136,MQ2,MQ3,MQ4,MQ5,MQ6,MQ8,MQ9,Temperature,Humidity
2058,spoiled,4.904724788,5.15,12.78,2.59,5.79,0.97,2.58,6.44,3.6,8,34.8,99.9
2059,spoiled,4.904724788,5.15,12.68,2.59,5.84,0.97,2.62,6.62,4.11,8,34.8,99.9
2060,spoiled,4.904724788,5.15,12.78,2.59,5.65,0.95,2.61,6.91,3.49,8.03,34.9,99.9
2061,spoiled,4.904724788,5.1,12.78,2.64,5.82,0.96,2.56,6.54,3.15,7.97,34.8,99.9
2062,spoiled,4.904724788,5.13,12.68,2.65,5.79,0.95,2.58,6.81,3.32,7.94,34.8,99.9
2063,spoiled,4.904724788,5.13,12.83,2.65,5.77,0.97,2.56,6.54,3.52,8,34.8,99.9
2064,spoiled,4.904724788,5.19,12.99,2.65,5.86,0.96,2.62,6.52,3.74,7.94,34.8,99.9
2065,spoiled,4.904724788,5.19,12.83,2.62,5.89,0.96,2.64,6.52,4.04,8.03,34.8,99.9
2066,spoiled,4.904724788,5.26,12.99,2.67,5.84,0.98,2.55,6.47,3.68,8,34.7,99.9
2067,spoiled,4.904724788,5.24,13.04,2.67,5.82,0.98,2.58,6.67,3.72,7.94,34.8,99.9
2068,spoiled,4.904724788,5.17,12.94,2.67,5.44,0.98,2.46,6.29,2.79,8.1,34.8,99.9
2069,spoiled,4.904724788,5.1,12.78,2.65,5.79,0.95,2.5,6.52,2.87,8.13,34.7,99.9
2070,spoiled,4.904724788,5.17,12.78,2.65,5.77,0.98,2.52,6.6,2.97,8.07,34.8,99.9
2071,spoiled,4.904724788,5.19,12.99,2.68,5.79,0.96,2.55,6.44,3,8.13,34.7,99.9
2072,spoiled,4.904724788,5.17,13.14,2.64,5.79,0.96,2.56,6.75,3.2,8.03,34.7,99.9
2073,spoiled,4.904724788,5.22,12.99,2.67,5.82,0.96,2.58,6.83,3.3,8.03,34.7,99.9
2074,spoiled,4.904724788,5.24,12.99,2.65,5.82,0.96,2.58,6.39,3.38,7.97,34.7,99.9
2075,spoiled,4.904724788,5.26,12.78,2.65,5.84,0.95,2.61,6.52,3.54,8.07,34.6,99.9
2076,spoiled,4.904724788,5.26,12.94,2.67,5.86,0.96,2.62,6.89,3.42,8,34.6,99.9
2077,spoiled,4.904724788,5.19,13.09,2.64,5.84,0.95,2.62,6.52,3.37,8.07,34.6,99.9
2078,spoiled,4.904724788,5.19,12.94,2.62,5.86,0.95,2.59,6.52,3.44,8.03,34.6,99.9
2079,spoiled,4.904724788,5.26,12.29,2.64,5.84,0.98,2.58,6.49,3.45,8.07,34.6,99.9
2080,spoiled,4.904724788,5.24,12.53,2.65,5.86,0.94,2.62,6.89,3.51,8.1,34.6,99.9
2081,spoiled,4.904724788,5.26,12.53,2.67,5.86,0.96,2.62,6.6,3.67,8.1,34.7,99.9
2082,spoiled,4.904724788,5.24,12.53,2.65,5.86,0.96,2.61,6.47,3.74,8.03,34.6,99.9
2083,spoiled,4.904724788,5.22,12.53,2.64,5.84,0.95,2.62,6.91,3.79,7.97,34.6,99.9
2084,spoiled,4.904724788,5.24,12.63,2.64,5.89,0.96,2.64,6.42,3.94,8.03,34.6,99.9
2085,spoiled,4.904724788,5.28,12.89,2.67,5.89,0.97,2.61,6.86,4.19,8.23,34.6,99.9
2086,spoiled,4.904724788,5.24,12.78,2.64,5.86,0.95,2.65,6.44,4.17,8.1,34.6,99.9
2087,spoiled,4.904724788,5.26,12.68,2.65,5.91,0.96,2.67,7.33,4.41,8.1,34.6,99.9
2088,spoiled,4.904724788,5.26,12.89,2.64,5.84,0.98,2.67,6.57,4.53,8.13,34.6,99.9
2089,spoiled,4.904724788,5.33,12.73,2.67,5.86,0.96,2.67,7.11,4.67,8.1,34.6,99.9
2090,spoiled,4.904724788,5.33,12.63,2.65,5.84,0.98,2.65,6.52,4.57,8.26,34.6,99.9
2091,spoiled,4.904724788,5.24,12.89,2.65,5.89,0.96,2.65,6.97,4.21,8.26,34.5,99.9
2092,spoiled,4.904724788,5.1,12.63,2.65,5.77,0.95,2.59,6.49,3.16,8.16,34.5,99.9
2093,spoiled,4.904724788,5.15,12.78,2.64,5.84,0.95,2.61,6.91,3.33,8.1,34.5,99.9
2094,spoiled,4.904724788,5.15,12.73,2.65,5.86,0.95,2.61,6.32,3.44,8,34.5,99.9
2095,spoiled,4.904724788,5.26,12.63,2.67,5.82,0.96,2.61,6.67,3.51,8.07,34.5,99.9
2096,spoiled,4.904724788,5.24,12.94,2.67,5.84,0.97,2.64,6.19,3.6,8,34.5,99.9
2097,spoiled,4.904724788,5.19,12.99,2.64,5.86,0.95,2.67,6.7,3.92,8,34.5,99.9
2098,spoiled,4.904724788,5.24,12.89,2.78,6.32,0.98,2.62,6.47,4.39,8.07,34.5,99.9
2099,spoiled,4.904724788,5.31,12.99,2.65,5.91,0.96,2.65,6.47,4.41,8.07,34.5,99.9
2100,spoiled,4.904724788,5.26,12.94,2.64,5.91,0.93,2.67,6.49,4.39,8,34.4,99.9
2101,spoiled,4.902047855,5.24,12.78,2.64,5.84,0.96,2.65,6.86,4.41,8.03,34.4,99.9
2102,spoiled,4.902047855,5.24,12.78,2.64,5.86,0.95,2.64,6.7,3.91,8,34.5,99.9
2103,spoiled,4.902047855,5.28,12.83,2.67,5.91,0.96,2.67,6.62,3.79,8.07,34.4,99.9
2104,spoiled,4.902047855,5.35,12.68,2.67,5.86,0.96,2.62,6.32,3.76,8.1,34.4,99.9
2105,spoiled,4.902047855,5.28,12.89,2.65,5.91,0.94,2.64,6.52,3.67,8.07,34.4,99.9
2106,spoiled,4.902047855,5.33,12.19,2.67,5.91,0.96,2.64,6.29,3.4,8,34.4,99.9
2107,spoiled,4.902047855,5.33,12.43,2.67,5.89,0.96,2.62,6.27,3.42,8,34.4,99.9
2108,spoiled,4.902047855,5.33,12.89,2.67,5.86,0.97,2.62,6.57,3.51,8.07,34.4,99.9
2109,spoiled,4.902047855,5.31,12.68,2.67,5.86,0.98,2.59,6.44,3.51,8.07,34.4,99.9
2110,spoiled,4.902047855,5.31,12.78,2.67,5.91,0.96,2.64,6.29,3.6,8.1,34.4,99.9
2111,spoiled,4.902047855,5.26,12.83,2.65,5.89,0.95,2.67,6.14,3.72,8.13,34.4,99.9
2112,spoiled,4.902047855,5.26,12.63,2.64,5.89,0.93,2.64,6.14,3.87,8.1,34.4,99.9
2113,spoiled,4.902047855,5.31,12.58,2.67,5.91,0.96,2.67,6.17,4.02,8.13,34.4,99.9
2114,spoiled,4.902047855,5.33,12.05,2.62,5.84,0.96,2.64,6.19,4.04,8.07,34.4,99.9
2115,spoiled,4.902047855,5.31,13.09,2.62,5.86,0.97,2.62,6.37,4.13,8.07,34.4,99.9
2116,spoiled,4.902047855,5.26,12.99,2.59,5.86,0.94,2.64,6.14,4.04,8.07,34.4,99.9
2117,spoiled,4.902047855,5.28,13.14,2.62,5.89,0.96,2.61,6.62,3.65,8.13,34.4,99.9
2118,spoiled,4.902047855,5.31,13.3,2.61,5.91,0.95,2.64,6.27,3.61,8.16,34.3,99.9
2119,spoiled,4.902047855,5.26,13.09,2.61,5.84,0.97,2.61,6.12,3.61,8.13,34.3,99.9
2120,spoiled,4.902047855,5.31,13.04,2.61,5.89,0.96,2.62,6.22,3.56,8.1,34.3,99.9
2121,spoiled,4.902047855,5.31,13.25,2.59,5.91,0.96,2.59,5.95,3.23,8.1,34.3,99.9
2122,spoiled,4.902047855,5.15,13.09,2.59,5.79,0.94,2.52,5.86,2.84,8.1,34.3,99.9
2123,spoiled,4.902047855,5.17,13.41,2.59,5.82,0.97,2.53,6.14,2.97,8.13,34.3,99.9
2124,spoiled,4.902047855,5.19,13.2,2.61,5.86,0.96,2.55,6.24,3.01,8.07,34.3,99.9
2125,spoiled,4.902047855,5.13,13.41,2.59,5.84,0.93,2.58,6.39,3.13,8.1,34.3,99.9
2126,spoiled,4.902047855,5.13,13.2,2.61,5.84,0.97,2.55,5.88,3.16,8.19,34.3,99.9
2127,spoiled,4.902047855,5.24,13.2,2.62,5.89,0.95,2.58,6.22,3.18,8.03,34.3,99.9
2128,spoiled,4.902047855,5.13,13.36,2.59,5.84,0.97,2.53,5.93,3.18,8.1,34.3,99.9
2129,spoiled,4.902047855,5.15,13.2,2.64,5.89,0.94,2.58,5.98,3.13,8,34.3,99.9
2130,spoiled,4.902047855,5.17,13.36,2.65,5.89,0.95,2.55,6.02,3.15,8.03,34.3,99.9
2131,spoiled,4.902047855,5.1,13.3,2.62,5.89,0.94,2.58,6.1,3.16,8,34.3,99.9
2132,spoiled,4.902047855,5.22,13.3,2.64,5.84,0.97,2.56,5.84,3.23,8,34.2,99.9
2133,spoiled,4.902047855,5.19,13.25,2.65,5.89,0.96,2.53,6.02,3.13,7.97,34.3,99.9
2134,spoiled,4.902047855,5.15,13.2,2.65,5.91,0.94,2.58,6.1,3.05,8,34.2,99.9
2135,spoiled,4.902047855,5.22,13.46,2.64,5.84,0.96,2.53,5.7,3.08,7.97,34.2,99.9
2136,spoiled,4.902047855,5.22,13.25,2.64,5.91,0.96,2.59,5.52,3.16,8.07,34.2,99.9
2137,spoiled,4.902047855,5.22,13.25,2.65,5.91,0.95,2.58,5.61,3.2,8.03,34.3,99.9
2138,spoiled,4.902047855,5.17,13.3,2.62,5.89,0.94,2.59,5.47,3.25,7.94,34.3,99.9
2139,spoiled,4.902047855,5.19,13.2,2.64,5.89,0.95,2.58,5.47,3.32,7.97,34.2,99.9
2140,spoiled,4.902047855,5.26,13.14,2.62,5.86,0.96,2.58,5.5,3.37,8.03,34.3,99.9
2141,spoiled,4.902047855,5.26,13.79,2.65,5.86,0.97,2.58,5.68,3.4,8,34.2,99.9
2142,spoiled,4.902047855,5.22,12.89,2.62,5.89,0.94,2.61,5.86,3.44,8.03,34.3,99.9
2143,spoiled,4.902047855,5.26,12.73,2.64,5.89,0.95,2.59,5.65,3.4,8.03,34.2,99.9
2144,spoiled,4.902047855,5.19,12.83,2.62,5.86,0.94,2.58,5.79,3.37,8,34.2,99.9
2145,spoiled,4.902047855,5.24,12.48,2.64,5.89,0.95,2.59,5.61,3.32,8,34.2,99.9
2146,spoiled,4.902047855,5.22,12.78,2.61,5.82,0.97,2.56,5.45,3.33,8.07,34.2,99.9
2147,spoiled,4.902047855,5.26,12.63,2.65,5.86,0.96,2.58,5.56,3.37,7.94,34.2,99.9
2148,spoiled,4.902047855,5.26,12.58,2.64,5.89,0.98,2.56,5.77,3.42,8.1,34.2,99.9
2149,spoiled,4.902047855,5.26,12.78,2.64,5.89,0.96,2.58,5.47,3.51,8.07,34.2,99.9
2150,spoiled,4.902047855,5.26,12.68,2.64,5.86,0.96,2.58,5.47,3.23,8,34.2,99.9
2151,spoiled,4.902047855,5.22,12.89,2.62,5.84,0.97,2.53,5.41,3.16,8.1,34.2,99.9
2152,spoiled,4.902047855,5.24,12.73,2.62,5.89,0.95,2.58,5.54,3.21,8.03,34.1,99.9
2153,spoiled,4.902047855,5.26,12.89,2.64,5.86,0.97,2.56,5.43,3.26,7.97,34.2,99.9
2154,spoiled,4.902047855,5.24,12.73,2.64,5.91,0.97,2.64,5.65,3.85,8,34.1,99.9
2155,spoiled,4.902047855,5.26,12.99,2.64,5.99,0.95,2.68,5.63,3.68,8.03,34.1,99.9
2156,spoiled,4.902047855,5.24,12.89,2.64,5.99,0.95,2.67,5.84,3.89,8,34.1,99.9
2157,spoiled,4.902047855,5.31,12.68,2.62,5.99,0.95,2.67,5.39,3.92,8,34.1,99.9
2158,spoiled,4.902047855,5.24,12.63,2.62,5.91,0.95,2.67,5.41,3.94,8.1,34.1,99.9
2159,spoiled,4.902047855,5.33,12.53,2.65,5.99,0.96,2.65,5.63,4,8.07,34.1,99.9
2160,spoiled,4.902047855,5.35,12.78,2.64,5.94,0.96,2.65,5.56,4.08,8.1,34.1,99.9
